County,Year,Homeless (Count),Population,Unemployment Rate,Median Inc,Incarceration (Rateper1000),Poverty (Count),Drug Arrests (Count),Relocated (Rate),Sub Abuse Enrollment (Count),Adult Pysch Beds (Count),Severe Housing Problems (Rate),Forcible Sex (Count),Foster Care (Count)
Okeechobee,2019,48,41347,3.7,41760,5.7,7982,400,7.65116624572872,169,0,NA,30,101
Okeechobee,2020,48,42187,5.4,46097,5.6,6818,297,10.5767116930067,189,0,NA,29,101
Orange,2018,1539,1370447,3.2,54335,2.1,207125,8433,16.6446289941483,4893,322,20.8,1056,912
Orange,2019,1544,1389297,3.1,58254,1.9,195467,6867,16.5917489382825,4085,322,NA,1046,950
Orange,2020,1401,1426631,10.6,61416,1.6,190145,4477,16.1085309949175,2983,322,NA,920,1149
Osceola,2018,226,360426,3.6,50063,2.5,54789,2310,13.0293319884124,1252,75,21.4,206,225
Osceola,2019,214,368678,3.5,52279,2.6,51791,1864,12.9314652917002,1105,75,NA,181,245
Osceola,2020,234,388132,13.5,55538,1.7,48325,840,11.4996689567408,866,75,NA,166,284
Palm Beach,2018,1309,1442281,3.6,59943,1.4,182863,7857,13.6099669673802,4876,237,21.6,759,949
Palm Beach,2019,1397,1458576,3.4,63299,1.3,175742,5633,13.2801172844761,3537,237,NA,723,1002
Palm Beach,2020,1510,1469904,7.6,65015,1.1,169844,2965,12.5480780227725,3627,229,NA,684,1009
Pasco,2018,1356,518639,3.8,50417,3.5,67545,3932,12.0157913674126,1998,207,14.4,341,859
Pasco,2019,894,527174,3.7,52828,3.4,65753,3168,12.482399959211,1961,207,NA,324,813
Pasco,2020,894,539769,7.2,53431,2.3,65092,1555,11.9308268946874,1170,207,NA,286,1032
Pinellas,2018,2612,971022,3.3,51454,3.1,123097,6165,14.3656746287997,3552,289,17.5,671,1145
Pinellas,2019,2415,979558,3.2,54090,3.2,116107,5733,14.544383192687,2623,289,NA,610,1235
Pinellas,2020,2209,986400,7,56419,2.2,110728,3462,14.1487838264715,1356,289,NA,640,1366
Polk,2018,552,681691,4.1,48500,4.1,108755,8037,13.164184564496,2222,94,16.7,279,799
Polk,2019,563,688770,3.9,50584,3.9,106475,5666,12.6996674974202,1422,118,NA,237,842
Polk,2020,565,707191,9,51535,3.1,104509,3916,12.4660939326915,911,118,NA,221,1089
