"","imdbID","Director","Metascore","imdbRating","imdbVotes","BoxOffice"
"90","tt1306980","Jonathan Levine","72",7.6,331315,"$35,014,192"
"91","tt3100636","Sophie Hyde","71",6.4,1495,"N/A"
"92","tt0120577","Mark Christopher","33",5.8,33472,"$16,757,163"
"93","tt0056800","Nicholas Ray, Guy Green, Andrew Marton","N/A",6.7,6773,"N/A"
"94","tt0494199","Warren P. Sonoda","N/A",4.4,3545,"N/A"
"95","tt3685622","Gabriel Ripstein","N/A",5.4,2397,"N/A"
"96","tt0235154","Pen-Ek Ratanaruang","65",7.1,2189,"N/A"
"97","tt0298203","Curtis Hanson","77",7.1,291450,"$116,750,901"
"98","tt0283832","François Ozon","64",7,32583,"$3,098,776"
"99","tt0056801","Federico Fellini","91",8,118545,"$98,760"
"100","tt0090570","David Hugh Jones","N/A",7.4,10320,"$1,083,486"
"101","tt0411061","Jon Avnet","17",5.9,76748,"$17,213,467"
"102","tt0134273","Joel Schumacher","19",6.5,134221,"$36,663,315"
"103","tt0472033","Shane Acker","60",7,141232,"$31,749,894"
"104","tt0411705","Michael Winterbottom","43",4.8,22870,"$66,853"
"105","tt0875113","Jan Kounen","N/A",7.2,19988,"N/A"
"106","tt1509787","Brian Crano","50",6.6,3041,"N/A"
"107","tt0268978","Ron Howard","72",8.2,931519,"$170,742,341"
"108","tt0092263","John Woo","78",7.4,23454,"N/A"
"109","tt0094357","John Woo","N/A",7.2,10530,"N/A"
"110","tt0060165","Fielder Cook","N/A",7.3,4328,"N/A"
"111","tt0456912","Jee-woon Kim","N/A",7.5,40743,"N/A"
"112","tt0072730","L.Q. Jones","68",6.4,18068,"N/A"
"113","tt0075784","Richard Attenborough","63",7.4,57383,"$50,750,000"
"114","tt0052655","Roger Corman","N/A",6.7,7133,"N/A"
"115","tt0120623","John Lasseter, Andrew Stanton","77",7.2,294234,"$162,798,565"
"116","tt0036695","Michael Powell, Emeric Pressburger","N/A",7.4,5961,"N/A"
"117","tt1817081","Kat Coiro","38",5.6,12006,"$4,187"
"118","tt1673702","Jean-Loup Felicioli, Alain Gagnol","63",6.9,11386,"$309,973"
"119","tt0088915","Richard Attenborough","46",6.2,10637,"$14,202,899"
"120","tt0406649","Arthur Allan Seidelman","N/A",6.2,1981,"N/A"
"121","tt0085334","Bob Clark","77",7.9,152107,"$20,778,141"
"122","tt0032339","Alfred J. Goulding","N/A",7.2,4032,"N/A"
"123","tt0356470","Mark Rosman","25",5.9,88542,"$51,438,175"
"124","tt0066921","Stanley Kubrick","77",8.3,828547,"$26,617,553"
"125","tt0423409","Michael Winterbottom","80",6.7,12862,"$1,253,413"
"126","tt1954701","Jan-Ole Gerster","63",7.3,16699,"$150,275"
"127","tt0061523","Charles Chaplin","N/A",6,6429,"N/A"
"128","tt3953626","Anna Axster","46",5.9,1169,"N/A"
"129","tt4731136","Gore Verbinski","47",6.4,100018,"$8,106,986"
"130","tt1571222","David Cronenberg","76",6.4,104281,"$5,704,709"
"131","tt4805316","Liam Gavin","71",6.2,18419,"N/A"
"132","tt0028772","Sam Wood","N/A",7.5,13934,"N/A"
"133","tt0365125","John Waters","56",5.1,13057,"$1,339,668"
"134","tt1753383","Lasse Hallström","43",7.2,73050,"$64,508,620"
"135","tt0069987","Patrick Garland","N/A",6.4,1288,"N/A"
"136","tt0050371","Elia Kazan","72",8.2,15990,"N/A"
"137","tt0104257","Rob Reiner","62",7.7,265671,"$141,340,178"
"138","tt2375574","Ben Wheatley","73",6.2,13055,"$32,846"
"139","tt0095159","Charles Crichton, John Cleese","80",7.5,143731,"$62,493,712"
"140","tt0058461","Sergio Leone","65",7.9,218097,"$14,500,000"
"141","tt6265828","David Lowery","84",6.8,73106,"$1,596,371"
"142","tt3661798","July Jung","N/A",6.9,2871,"N/A"
"143","tt0066824","Luigi Zampa","N/A",6.9,1149,"N/A"
"144","tt0018937","Howard Hawks","N/A",6.6,747,"N/A"
"145","tt2326554","Ana Lily Amirpour","81",6.9,36070,"$491,910"
