"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"80","Alger: rue Bab-Azoun",0,1896,9949,"1672718","tt1672718",5,241
"81","Lassage des boeufs pour le labour",0,1896,9950,"1736599","tt1736599",4.6,95
"82","Lancement d&#39;un navire",0,1896,9901,"0222137","tt0222137",6.3,336
"83","Bataille de neige",0,1897,9328,"0000041","tt0000041",6.8,1795
"84","Four Heads Are Better Than One",0,1898,4978,"0135696","tt0135696",7.6,3540
"85","Astronomer&#39;s Dream; or, The Man in the Moon, The",0,1898,5410,"0000211","tt0000211",7.4,4253
"86","Temptation of St. Anthony, The",0,1898,5411,"0224240","tt0224240",5.9,891
"87","A Turn of the Century Illusionist",0,1899,4994,"0000246","tt0000246",6.4,1031
"88","Cinderella",3,1899,5914,"0000230","tt0000230",6.5,1642
"89","Sherlock Holmes Baffled",0,1900,1594,"0291476","tt0291476",5.2,695
"90","Enchanted Drawing, The",0,1900,4271,"0000300","tt0000300",6.9,1272
"91","Grandma&#39;s Reading Glass",0,1900,4343,"0000304","tt0000304",6.1,1203
"92","As Seen Through A Telescope (a.k.a The Professor and His Field Glass)",0,1900,4344,"0000272","tt0000272",5.6,833
"93","Explosion of a Motor Car (a.k.a The Dlights of Automobiling)",0,1900,4345,"0257654","tt0257654",6.3,929
"94","Hamlet ( Le Duel d&#39;Hamlet)",0,1900,4346,"0000306","tt0000306",5.3,238
"95","One-Man Band, The",0,1900,4993,"0135453","tt0135453",7,2336
"96","Grandma Threading Her Needle",0,1900,5069,"0377995","tt0377995",5.9,23
"97","Searching Ruins on Broadway, Galveston, for Dead Bodies",0,1900,5072,"0230746","tt0230746",4.9,208
"98","Let Me Dream Again",0,1900,5438,"0000313","tt0000313",5.8,787
"99","Doctor and the Monkey, The",0,1900,5446,"0227438","tt0227438",5.2,351
"100","L&#39;homme a la tete en caoutchouc",0,1901,4995,"0000359","tt0000359",7.1,2923
"101","Reve et realite",0,1901,5437,"0258104","tt0258104",5.1,488
"102","Bluebeard",0,1901,5500,"0131934","tt0131934",6.9,1749
"103","Le voyage dans la lune",0,1902,1252,"0000417","tt0000417",8.2,50644
"104","Gulliver&#39;s Travels",0,1902,5431,"0229024","tt0229024",6.6,891
"105","Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",0,1902,5432,"0367177","tt0367177",4.9,112
"106","Mephistopheles&#39; School of Magic",0,1902,5443,"0000413","tt0000413",5.5,449
"107","Great Train Robbery, The",0,1903,1319,"0000439","tt0000439",7.3,19544
"108","Infernal Boiling Pot, The",0,1903,5002,"0135180","tt0135180",6.6,1782
"109","Music Lover, The",0,1903,5063,"0000455","tt0000455",6.8,1839
"110","Monster, The",0,1903,5064,"0223755","tt0223755",6.3,1233
"111","Enchanted Well, The",0,1903,5683,"0189498","tt0189498",6,437
"112","Cook in Trouble, The",0,1904,5224,"0215664","tt0215664",6,825
"113","Living Playing Cards, The",0,1904,5404,"0135179","tt0135179",6.6,1495
"114","Untamable Whiskers, The",0,1904,5601,"0135631","tt0135631",6.2,1106
"115","Le voyage a travers l&#39;impossible",0,1904,6135,"0000499","tt0000499",7.5,3642
"116","Scheming Gambler&#39;s Paradise, The",0,1905,5003,"0135690","tt0135690",6.1,829
"117","Black Imp, The",0,1905,5602,"0215575","tt0215575",7,2121
"118","Story of the Kelly Gang, The",1,1906,1349,"0000574","tt0000574",6,799
"119","Mysterious Retort, The",0,1906,5024,"0216016","tt0216016",5.9,656
"120","Humorous Phases of Funny Faces",0,1906,5435,"0000554","tt0000554",6.3,1319
"121","Hilarious Posters, The",0,1906,5603,"0135122","tt0135122",6.2,1058
"122","400 Tricks of the Devil, The",0,1906,5684,"0000567","tt0000567",6.8,1211
"123","A Funny Shave",0,1906,6206,"0449172","tt0449172",5.8,536
"124","Consequence of Feminism, The",0,1906,7215,"1260944","tt1260944",6.6,747
"125","Eclipse: Courtship of the Sun and Moon, The",0,1907,5223,"0215737","tt0215737",6.4,1283
"126","Good Glue Sticks",0,1907,5615,"0215817","tt0215817",5.5,607
"127","Unusual Cooking",0,1908,6231,"1802750","tt1802750",5.7,40
"128","Princess Nicotine; or, The Smoke Fairy",2,1909,4409,"0001009","tt0001009",6.5,950
"129","Devilish Tenant, The",0,1909,5635,"0127948","tt0127948",7.2,1860
"130","Le barometre de la fidelite",1,1909,6211,"0277596","tt0277596",6.2,58
"131","Tilly the Tomboy Visits the Poor",3,1910,1464,"0232821","tt0232821",5.8,61
"132","Mobilier fidele",0,1910,4983,"0486978","tt0486978",6.6,373
"133","A Trip to Mars",0,1910,5685,"1515725","tt1515725",6,471
"134","Cleopatra",2,1912,2003,"0002101","tt0002101",5.1,538
"135","Invaders, The",0,1912,2005,"0002281","tt0002281",6.1,310
"136","Max and the Donkey",0,1912,5357,"0277865","tt0277865",5.8,57
"137","Voyage of the Bourrichon Family, The",0,1913,5364,"0003512","tt0003512",5,167
"138","Suspense",0,1913,5915,"0003424","tt0003424",7.4,1838
"139","A Florida Enchantment",2,1914,4457,"0003973","tt0003973",5.8,266
"140","Birth of a Nation, The",2,1915,1258,"0004972","tt0004972",6.2,25041
"141","Gretchen the Greenhorn",3,1916,2008,"0006745","tt0006745",6.4,523
"142","Lady Windermere&#39;s Fan",3,1916,2014,"0279914","tt0279914",5.4,58
"143","Vagabond, The",0,1916,5368,"0007507","tt0007507",6.9,2949
"144","Intolerance: Love&#39;s Struggle Throughout the Ages",0,1916,5944,"0006864","tt0006864",7.7,15779
"145","Snow White",3,1916,7004,"0007361","tt0007361",6.3,410
"146","A Tale of Two Cities",3,1917,1981,"0008652","tt0008652",6,148
"147","Rebecca of Sunnybrook Farm",3,1917,1993,"0008499","tt0008499",6.3,859
"148","Poor Little Rich Girl, The",3,1917,1994,"0008443","tt0008443",6.7,1447
"149","A Romance of the Redwoods",0,1917,2015,"0008519","tt0008519",6.1,832
"150","Raffles, the Amateur Cracksman",2,1917,2019,"0008489","tt0008489",6.4,171
"151","Tarzan of the Apes",3,1918,1996,"0009682","tt0009682",5.8,855
"152","Stella Maris",3,1918,2007,"0009652","tt0009652",6.9,1485
"153","Are Crooks Dishonest?",0,1918,5441,"0008844","tt0008844",6.2,342
"154","Ich mochte kein Mann sein",3,1918,7108,"0010281","tt0010281",6.8,1510
"155","When the Clouds Roll by",3,1919,2018,"0010879","tt0010879",6.9,912
"156","Broken Blossoms or The Yellow Man and the Girl",0,1919,2588,"0009968","tt0009968",7.3,10491
"157","Cabinet of Dr. Caligari, The",0,1920,1306,"0010323","tt0010323",8,64866
"158","Pollyanna",3,1920,1991,"0011588","tt0011588",6.4,464
"159","Within Our Gates",3,1920,5948,"0011870","tt0011870",6.4,3236
"160","Orphans of the Storm",3,1921,1263,"0012532","tt0012532",7.3,5223
"161","Kid, The",0,1921,3945,"0012349","tt0012349",8.3,127231
"162","Blot, The",3,1921,4204,"0011979","tt0011979",6.8,616
"163","K&ouml;rkarlen (The Phantom Carriage)",2,1921,5898,"0012364","tt0012364",8,12858
"164","Nosferatu, eine Symphonie des Grauens",2,1922,1307,"0013442","tt0013442",7.9,98694
"165","Phantom, The",2,1922,1631,"0013496","tt0013496",6.7,1833
"166","Nathan der Weise",2,1922,1778,"0013428","tt0013428",6.9,142
"167","Man from Beyond, The",1,1922,2001,"0013367","tt0013367",5.3,300
"168","H&auml;xan: Witchcraft Through the Ages",3,1922,3800,"0013257","tt0013257",7.6,14936
"169","Paleface, The",0,1922,5361,"0012543","tt0012543",6.9,3020
"170","Nanook of the North",1,1922,5901,"0013427","tt0013427",7.6,12575
