"","title","rating","year","id","imdbid","titleId","averageRating","numVotes"
"2507","All Dogs Go to Heaven",3,1989,2528,"0096787","tt0096787",6.7,42675
"2508","Crimes and Misdemeanors",3,1989,2619,"0097123","tt0097123",7.8,58546
"2509","Major League",1,1989,3808,"0097815","tt0097815",7.2,70744
"2510","Seventh Continent, The",3,1989,3803,"0098327","tt0098327",7.6,15583
"2511","Leviathan",3,1989,3932,"0097737","tt0097737",5.8,21351
"2512","Drugstore Cowboy",2,1989,3934,"0097240","tt0097240",7.3,37701
"2513","UHF",1,1989,4036,"0098546","tt0098546",6.9,29384
"2514","Meet The Feebles",3,1989,4175,"0097858","tt0097858",6.6,21422
"2515","Shag",3,1989,4268,"0098300","tt0098300",6.3,4405
"2516","Say Anything...",2,1989,4270,"0098258","tt0098258",7.3,91402
"2517","Licence to Kill",2,1989,4364,"0097742","tt0097742",6.6,106125
"2518","Oranges Are Not The Only Fruit",3,1989,4397,"0098032","tt0098032",7.8,1054
"2519","Dream Team, The",0,1989,4579,"0097235","tt0097235",6.5,15602
"2520","Cook, the Thief, His Wife &amp; Her Lover, The",1,1989,4597,"0097108","tt0097108",7.5,38789
"2521","Dead Calm",0,1989,4606,"0097162","tt0097162",6.8,41245
"2522","Leningrad Cowboys Go America",0,1989,4646,"0097728","tt0097728",7,7592
"2523","Teen Witch",3,1989,4760,"0098453","tt0098453",6,9498
"2524","Turner &amp; Hooch",1,1989,5277,"0098536","tt0098536",6.2,72007
"2525","Chopper Chicks in Zombietown",3,1989,5534,"0103959","tt0103959",4.1,2015
"2526","Born on the Fourth of July",3,1989,5574,"0096969","tt0096969",7.2,108110
"2527","A Nightmare on Elm Street 5: The Dream Child",3,1989,6024,"0097981","tt0097981",5,47031
"2528","Do the Right Thing",2,1989,6594,"0097216","tt0097216",7.9,103271
"2529","Friday the 13th Part VIII: Jason Takes Manhattan",3,1989,6675,"0097388","tt0097388",4.5,39257
"2530","Glory",0,1989,6975,"0097441","tt0097441",7.8,136272
"2531","Loverboy",3,1989,7048,"0097790","tt0097790",6,8295
"2532","Godzilla vs. Biollante",3,1989,7213,"0097444","tt0097444",6.5,6069
"2533","Lethal Weapon 2",3,1989,7222,"0097733","tt0097733",7.2,178013
"2534","Driving Miss Daisy",3,1989,7255,"0097239","tt0097239",7.3,111060
"2535","Field of Dreams",2,1989,7268,"0097351","tt0097351",7.5,120668
"2536","My Left Foot",3,1989,7269,"0097937","tt0097937",7.9,75167
"2537","Millennium",3,1989,7438,"0097883","tt0097883",5.7,6512
"2538","Delinquents, The",3,1989,7842,"0097182","tt0097182",5.6,988
"2539","National Lampoon&#39;s Christmas Vacation",3,1989,8323,"0097958","tt0097958",7.5,194226
"2540","Celia",3,1989,8470,"0094849","tt0094849",6.8,1220
"2541","Babar: The Movie",3,1989,8507,"0096869","tt0096869",6.3,1028
"2542","Savage Beach",3,1989,8997,"0098257","tt0098257",4.4,1590
"2543","Kickboxer",0,1989,9485,"0097659","tt0097659",6.4,56591
"2544","Blind Fury",1,1989,9487,"0096945","tt0096945",6.3,17509
"2545","Karate Kid Part III, The",0,1989,9515,"0097647","tt0097647",5.3,64707
"2546","Killer, The",0,1989,9528,"0097202","tt0097202",7.8,48911
"2547","Farewell to the King",0,1989,9539,"0097334","tt0097334",6.3,2899
"2548","Tango &amp; Cash",0,1989,9727,"0098439","tt0098439",6.4,107111
"2549","Return of Swamp Thing, The",3,1989,9752,"0098193","tt0098193",4.6,5760
"2550","Punisher, The",1,1989,9770,"0098141","tt0098141",5.6,24174
"2551","Sidewalk Stories",2,1989,10637,"0098325","tt0098325",7.3,505
"2552","Total Recall",1,1990,118,"0100802","tt0100802",7.5,333135
"2553","Back to the Future Part III",1,1990,151,"0099088","tt0099088",7.4,448970
"2554","Witches, The",3,1990,209,"0100944","tt0100944",6.8,51299
"2555","Home Alone",3,1990,432,"0099785","tt0099785",7.7,576530
"2556","Mermaids",3,1990,443,"0100140","tt0100140",6.7,32895
"2557","It",1,1990,454,"0099864","tt0099864",6.8,130510
"2558","Misery",1,1990,459,"0100157","tt0100157",7.8,214434
"2559","Postcards from the Edge",3,1990,533,"0100395","tt0100395",6.7,18111
"2560","Life Is Sweet",3,1990,796,"0100024","tt0100024",7.4,10614
"2561","Nikita",3,1990,869,"0100263","tt0100263",7.3,72906
"2562","Handmaid&#39;s Tale, The",3,1990,926,"0099731","tt0099731",6,9973
"2563","Mindwalk",3,1990,1173,"0100151","tt0100151",7.6,3133
"2564","Ghost",3,1990,1130,"0099653","tt0099653",7.1,219288
"2565","Paris is Burning",3,1990,1441,"0100332","tt0100332",8.1,15839
"2566","Tremors",3,1990,1663,"0100814","tt0100814",7.1,140134
"2567","I, the Worst of All",3,1990,1728,"0100990","tt0100990",7.1,682
"2568","White Hunter Black Heart",1,1990,1935,"0100928","tt0100928",6.5,12584
"2569","Pretty Woman",3,1990,2156,"0100405","tt0100405",7.1,327714
"2570","Goodfellas",3,1990,2211,"0099685","tt0099685",8.7,1158987
"2571","Darkman",0,1990,2242,"0099365","tt0099365",6.4,65608
"2572","Bimbos B.C.",3,1990,2379,"0196378","tt0196378",1.6,163
"2573","An Angel at My Table",3,1990,2296,"0099040","tt0099040",7.5,7998
"2574","Bonfire of the Vanities, The",2,1990,2313,"0099165","tt0099165",5.6,25376
"2575","Edward Scissorhands",3,1990,2442,"0099487","tt0099487",7.9,493532
"2576","Wild at Heart",2,1990,2577,"0100935","tt0100935",7.2,94528
"2577","Joe Versus the Volcano",2,1990,2820,"0099892","tt0099892",5.9,37808
"2578","Flatliners",3,1990,2942,"0099582","tt0099582",6.5,88230
"2579","Die Hard 2",3,1990,2963,"0099423","tt0099423",7.1,363875
"2580","Hunt for Red October, The",1,1990,3000,"0099810","tt0099810",7.5,202206
"2581","Happily Ever After",3,1990,3247,"0099733","tt0099733",5.5,2448
"2582","Russia House, The",0,1990,3524,"0100530","tt0100530",6.1,16435
"2583","Close-Up",1,1990,3561,"0100234","tt0100234",8.2,20289
"2584","Qin yong",3,1990,3566,"0098147","tt0098147",6.8,1019
"2585","Dark Angel (I Come in Peace)",0,1990,3662,"0099817","tt0099817",6.1,12670
"2586","A Little Night Music",3,1990,3721,"0359610","tt0359610",9.1,152
"2587","Long Walk Home, The",3,1990,4034,"0100046","tt0100046",7.3,4291
"2588","I Hired a Contract Killer",0,1990,4080,"0099818","tt0099818",7.2,6464
"2589","Strangers in Good Company",3,1990,4174,"0102993","tt0102993",7.7,1096
"2590","I love you to death",3,1990,4574,"0099819","tt0099819",6.4,14782
"2591","Child&#39;s Play 2",3,1990,4706,"0099253","tt0099253",5.9,53080
"2592","Troll 2",3,1990,4719,"0105643","tt0105643",2.9,33197
"2593","Miller&#39;s Crossing",0,1990,4750,"0100150","tt0100150",7.7,136363
"2594","Air America",0,1990,4807,"0099005","tt0099005",5.8,29140
"2595","Predator 2",2,1990,5182,"0100403","tt0100403",6.3,170509
"2596","RoboCop 2",1,1990,5237,"0100502","tt0100502",5.8,87670
"2597","Teenage Mutant Ninja Turtles",2,1990,5284,"0100758","tt0100758",6.7,95519
"2598","A Tale of Springtime",3,1990,5301,"0097106","tt0097106",7.1,4965
"2599","Match Factory Girl, The",3,1990,5333,"0098532","tt0098532",7.5,10071
"2600","Europa Europa",2,1990,5347,"0099776","tt0099776",7.6,16579
"2601","Portrait of a Marriage",3,1990,5399,"0098897","tt0098897",7.6,482
"2602","Lord of the Flies",0,1990,5556,"0100054","tt0100054",6.4,31306
"2603","Stella",2,1990,5581,"0100691","tt0100691",6.1,2720
"2604","Welcome Home, Roxy Carmichael",3,1990,5614,"0100911","tt0100911",5.8,5616
"2605","Jacob&#39;s Ladder",1,1990,5688,"0099871","tt0099871",7.4,109951
"2606","Where the Heart Is",3,1990,5776,"0100924","tt0100924",5.9,1688
"2607","Presumed Innocent",1,1990,5777,"0100404","tt0100404",6.9,42892
"2608","Dragon Ball Z: The Movie - The Tree of Might",1,1990,5908,"0142233","tt0142233",6.8,7860
"2609","Alice",3,1990,6081,"0099012","tt0099012",6.6,14544
"2610","Criminal Justice",3,1990,6289,"0099321","tt0099321",6.4,358
"2611","Kindergarten Cop",3,1990,6542,"0099938","tt0099938",6.2,151493
"2612","Cry-Baby",3,1990,6562,"0099329","tt0099329",6.5,61402
"2613","Nasty Girl (Das schreckliche M&auml;dchen), The",3,1990,6656,"0100557","tt0100557",7.3,2638
"2614","Dragon Ball Z: Bardock - The Father of Goku",0,1990,7426,"0142245","tt0142245",7.8,5648
"2615","Dances with Wolves",1,1990,7626,"0099348","tt0099348",8,266971
"2616","Rosencrantz &amp; Guildenstern Are Dead",1,1990,7659,"0100519","tt0100519",7.3,22800
"2617","Hidden Agenda",3,1990,8021,"0099768","tt0099768",6.9,4221
"2618","Class of 1999",2,1990,8043,"0099277","tt0099277",5.9,7868
"2619","Rescuers Down Under, The",1,1990,8051,"0100477","tt0100477",6.8,43773
"2620","Godfather: Part III, The",3,1990,8061,"0099674","tt0099674",7.6,398637
"2621","Metropolitan",3,1990,8097,"0100142","tt0100142",7.3,11538
"2622","Reflecting Skin, The",1,1990,8584,"0100469","tt0100469",6.7,8750
"2623","Barbarian Queen II: The Empress Strikes Back",3,1990,8929,"0103768","tt0103768",3.8,1029
"2624","Sheltering Sky, The",0,1990,9481,"0100594","tt0100594",6.7,13039
"2625","Bullet in the Head",1,1990,9529,"0099426","tt0099426",7.5,10965
"2626","Navy Seals",0,1990,9530,"0100232","tt0100232",5.5,17100
"2627","Delta Force 2: The Colombian Connection",1,1990,9532,"0099399","tt0099399",4.9,7639
"2628","Naked Tango",1,1990,9537,"0100222","tt0100222",5.9,679
"2629","No Retreat, No Surrender 3: Blood Brothers",0,1990,9546,"0100266","tt0100266",5.2,954
"2630","Lionheart",1,1990,9563,"0100029","tt0100029",6.2,37060
"2631","Rocky V",0,1990,9726,"0100507","tt0100507",5.3,138874
"2632","Hiroshima: Out of the Ashes",3,1990,9813,"0099772","tt0099772",6.1,387
"2633","Gremlins 2: The New Batch",2,1990,9923,"0099700","tt0099700",6.4,105326
"2634","Nightbreed",3,1990,10013,"0100260","tt0100260",6.5,24083
"2635","Quick Change",0,1990,10356,"0100449","tt0100449",6.8,21039
"2636","Days of Being Wild",2,1990,10394,"0101258","tt0101258",7.4,22932
"2637","Blue Steel",2,1990,10415,"0099160","tt0099160",5.7,15851
"2638","Bad Girls from Mars",3,1990,10453,"0101399","tt0101399",3.5,687
"2639","Silence of the Lambs, The",3,1991,32,"0102926","tt0102926",8.6,1430174
"2640","Beauty and the Beast",3,1991,183,"0101414","tt0101414",8,456022
"2641","Thelma &amp; Louise",3,1991,266,"0103074","tt0103074",7.5,157007
"2642","Omohide poro poro",3,1991,308,"0102587","tt0102587",7.6,33053
"2643","Other People's Money",3,1991,467,"0102609","tt0102609",6.2,8936
"2644","Point Break",0,1991,512,"0102685","tt0102685",7.2,185296
"2645","Tacones Lejanos",3,1991,710,"0103030","tt0103030",7,16285
"2646","Fried Green Tomatoes",3,1991,767,"0101921","tt0101921",7.7,75974
"2647","Terminator 2: Judgement Day",3,1991,847,"0103064","tt0103064",8.6,1097957
"2648","Shakes the Clown",3,1991,879,"0102898","tt0102898",5.6,5313
"2649","Impromptu",3,1991,913,"0102103","tt0102103",6.8,5224
"2650","Hook",2,1991,1033,"0102057","tt0102057",6.8,256541
"2651","Flirting",2,1991,1346,"0101898","tt0101898",7.2,6158
"2652","Raise the Red Lantern",3,1991,1297,"0101640","tt0101640",8.1,33172
"2653","White Fang",1,1991,1125,"0103247","tt0103247",6.7,21281
"2654","Closet Land",0,1991,1429,"0101597","tt0101597",7,2895
"2655","Doc Hollywood",1,1991,1089,"0101745","tt0101745",6.3,37736
"2656","Robin Hood: Prince of Thieves",3,1991,1579,"0102798","tt0102798",6.9,195860
"2657","Fisher King, The",3,1991,1405,"0101889","tt0101889",7.5,86488
"2658","Toy Soldiers",0,1991,1697,"0103112","tt0103112",6.6,23417
"2659","Naked Gun 2 1/2: The Smell of Fear, The",1,1991,1825,"0102510","tt0102510",6.9,114847
"2660","Slacker",3,1991,1846,"0102943","tt0102943",7,22130
"2661","Double Life of Veronique, The",3,1991,2180,"0101765","tt0101765",7.7,49431
"2662","Salmonberries",3,1991,2216,"0102829","tt0102829",6.1,716
"2663","Barton Fink",1,1991,2315,"0101410","tt0101410",7.6,123034
"2664","Black Robe",1,1991,2326,"0101465","tt0101465",7.1,7290
"2665","&#39;Merci la vie&#39;",3,1991,2408,"0102436","tt0102436",6.5,1265
"2666","Daughters of the Dust",3,1991,2455,"0104057","tt0104057",6.7,2745
"2667","An American Tail: Fievel Goes West",3,1991,2491,"0101329","tt0101329",6.4,26768
"2668","Don&#39;t Tell Mom the Babysitter&#39;s Dead",3,1991,2637,"0101757","tt0101757",6.3,34475
"2669","Teenage Mutant Ninja Turtles II: The Secret of the Ooze",3,1991,2740,"0103060","tt0103060",6,56980
"2670","Delirious",1,1991,2785,"0101701","tt0101701",5.8,8919
"2671","Night on Earth",3,1991,2846,"0102536","tt0102536",7.7,61394
"2672","Motorama",1,1991,2857,"0104922","tt0104922",6.2,2007
"2673","Critters 3",3,1991,2913,"0101627","tt0101627",4.4,12333
"2674","Rubin and Ed",0,1991,3036,"0102817","tt0102817",7,1906
"2675","Object of Beauty, The",3,1991,3058,"0102573","tt0102573",5.6,2167
"2676","Bill &amp; Ted&#39;s Bogus Journey",1,1991,3251,"0101452","tt0101452",6.3,76966
"2677","What About Bob?",2,1991,3292,"0103241","tt0103241",7,70587
"2678","Hudson Hawk",3,1991,3544,"0102070","tt0102070",5.7,57175
"2679","Hot Shots!",1,1991,3563,"0102059","tt0102059",6.7,109785
"2680","Star Trek VI: The Undiscovered Country",2,1991,3592,"0102975","tt0102975",7.2,76790
"2681","Addams Family, The",3,1991,3595,"0101272","tt0101272",6.9,163956
"2682","Rocketeer, The",1,1991,3987,"0102803","tt0102803",6.5,58653
"2683","Into The Woods",3,1991,4241,"0099851","tt0099851",8.7,3152
"2684","Last Boy Scout, The",3,1991,4290,"0102266","tt0102266",7,104725
"2685","Neon City",3,1991,4358,"0104981","tt0104981",5.3,1090
"2686","Life Stinks",0,1991,4577,"0102303","tt0102303",5.9,10738
"2687","Defending Your Life",3,1991,4631,"0101698","tt0101698",7.2,19415
"2688","L.A. Story",3,1991,4666,"0102250","tt0102250",6.7,33163
"2689","Europa",0,1991,4736,"0101829","tt0101829",7.6,21670
"2690","Princess and the Goblin, The",3,1991,4973,"0107875","tt0107875",6.7,2888
"2691","Lethal Games",3,1991,5133,"0100009","tt0100009",4.5,93
"2692","Madonna: Truth or Dare",3,1991,5260,"0102370","tt0102370",6.4,9680
"2693","My Girl",3,1991,5265,"0102492","tt0102492",6.9,82421
"2694","Lovers on the Bridge, The",1,1991,5332,"0101318","tt0101318",7.6,14356
"2695","Boyz n the Hood",2,1991,5638,"0101507","tt0101507",7.8,142240
"2696","Linguini Incident, The",3,1991,5639,"0102313","tt0102313",6.2,1344
"2697","Five Heartbeats, The",1,1991,5814,"0101891","tt0101891",7.5,4448
"2698","Dick Tracy",1,1991,5833,"0099422","tt0099422",6.2,62666
"2699","Freddy&#39;s Dead: The Final Nightmare",2,1991,6028,"0101917","tt0101917",4.7,47578
"2700","Dragon Ball Z: Cooler&#39;s Revenge",0,1991,6089,"1125254","tt1125254",7.1,7441
"2701","Nekromantik 2",1,1991,6335,"0102522","tt0102522",5.2,3802
"2702","Soapdish",3,1991,6371,"0102951","tt0102951",6.6,16619
"2703","Robin Hood",1,1991,7146,"0102797","tt0102797",5.7,5349
"2704","People Under the Stairs, The",3,1991,7163,"0105121","tt0105121",6.4,36060
"2705","Hachi-gatsu no rapusodi",3,1991,7172,"0101991","tt0101991",7.2,7049
"2706","Paprika",3,1991,7235,"0098063","tt0098063",5.5,4177
"2707","JFK",3,1991,7200,"0102138","tt0102138",8,157672
"2708","City Slickers",3,1991,7365,"0101587","tt0101587",6.8,58610
"2709","Riff-Raff",0,1991,7609,"0100491","tt0100491",7,4634
"2710","Frankie and Johnny",1,1991,7632,"0101912","tt0101912",6.7,32285
"2711","My Own Private Idaho",1,1991,7650,"0102494","tt0102494",7,57541
"2712","Oscar",2,1991,7655,"0102603","tt0102603",6.5,32573
"2713","Cape Fear",3,1991,7938,"0101540","tt0101540",7.3,197577
"2714","Mediterraneo",2,1991,8062,"0102426","tt0102426",7.4,15547
"2715","Until the End of the World",3,1991,9094,"0101458","tt0101458",6.8,10519
"2716","Samurai Cop",1,1991,9322,"0130236","tt0130236",4.6,8940
"2717","Highlander II",1,1991,9378,"0102034","tt0102034",4.2,46389
"2718","Deathstalker IV: Match of Titans",1,1991,9517,"0099388","tt0099388",3.7,988
"2719","Delta Force 3: The Killing Game",0,1991,9533,"0101702","tt0101702",3.4,1021
"2720","Kickboxer 2: The Road Back",0,1991,9548,"0102202","tt0102202",4.5,5945
"2721","Double Impact",1,1991,9564,"0101764","tt0101764",5.6,41582
"2722","Manta, Manta",3,1991,9810,"0102397","tt0102397",5.7,5010
"2723","Child&#39;s Play 3",2,1991,9847,"0103956","tt0103956",5.1,42551
"2724","Showdown in Little Tokyo",3,1991,10117,"0102915","tt0102915",6.1,19308
"2725","Commitments, The",3,1991,10265,"0101605","tt0101605",7.6,36183
"2726","Eyes of an Angel",0,1991,10474,"0101844","tt0101844",5.3,1287
"2727","Reservoir Dogs",0,1992,18,"0105236","tt0105236",8.3,1017638
"2728","Aladdin",0,1992,98,"0103639","tt0103639",8,421375
"2729","Alien 3",0,1992,296,"0103644","tt0103644",6.4,302254
"2730","Home Alone 2: Lost in New York",3,1992,433,"0104431","tt0104431",6.8,359195
"2731","Glengarry Glen Ross",0,1992,450,"0104348","tt0104348",7.7,106921
"2732","A Few Good Men",1,1992,451,"0104257","tt0104257",7.7,266293
"2733","A League of Their Own",3,1992,560,"0104694","tt0104694",7.3,110619
"2734","Buffy the Vampire Slayer",3,1992,748,"0103893","tt0103893",5.6,45748
"2735","Bob Roberts",1,1992,818,"0103850","tt0103850",7,15222
"2736","Batman Returns",0,1992,1025,"0103776","tt0103776",7.1,307521
"2737","Gas Food Lodging",3,1992,1345,"0104321","tt0104321",6.6,4173
"2738","Sister Act",3,1992,1352,"0105417","tt0105417",6.5,100572
"2739","Army of Darkness",2,1992,1276,"0106308","tt0106308",7.4,180169
"2740","Muppet Christmas Carol, The",3,1992,1101,"0104940","tt0104940",7.7,60867
"2741","Mighty Ducks, The",1,1992,1126,"0104868","tt0104868",6.5,67449
"2742","FernGully: The Last Rainforest",3,1992,1157,"0104254","tt0104254",6.5,31052
"2743","Toys",3,1992,1836,"0105629","tt0105629",5.1,32365
"2744","Full Contact",1,1992,1867,"0105851","tt0105851",7.1,4510
"2745","Death Becomes Her",3,1992,1869,"0104070","tt0104070",6.6,121237
"2746","Orlando",2,1992,1877,"0107756","tt0107756",7.1,17037
"2747","El Mariachi",0,1992,1886,"0104815","tt0104815",6.8,67931
"2748","My Cousin Vinny",1,1992,1895,"0104952","tt0104952",7.6,126684
"2749","Enchanted April",3,1992,2128,"0101811","tt0101811",7.3,6782
"2750","Passion Fish",3,1992,2349,"0105107","tt0105107",7.3,5734
"2751","Howards End",3,1992,2415,"0104454","tt0104454",7.4,33056
"2752","Twin Peaks: Fire Walk With Me",3,1992,2432,"0105665","tt0105665",7.2,98128
"2753","Sarafina!",3,1992,2457,"0105316","tt0105316",6.3,2056
"2754","Leaving Normal",3,1992,2466,"0104697","tt0104697",6.5,1520
"2755","Single White Female",3,1992,2504,"0105414","tt0105414",6.4,38304
"2756","This is My Life",3,1992,2506,"0105577","tt0105577",6,1282
"2757","Newsies",1,1992,2628,"0104990","tt0104990",6.9,21233
"2758","Straight Talk",3,1992,2709,"0105481","tt0105481",5.7,3798
"2759","Crying Game, The",2,1992,3141,"0104036","tt0104036",7.2,56339
"2760","Porco Rosso (Kurenai no Buta)",1,1992,3414,"0104652","tt0104652",7.7,90891
"2761","King of Beggars",2,1992,3556,"0100963","tt0100963",6.8,3894
"2762","Player, The",3,1992,3636,"0105151","tt0105151",7.5,61564
"2763","Scent of a Woman",1,1992,3787,"0105323","tt0105323",8,298419
"2764","Baraka",0,1992,3937,"0103767","tt0103767",8.5,39288
"2765","Dead Alive",3,1992,4141,"0103873","tt0103873",7.5,98476
"2766","Malcolm X",3,1992,4391,"0104797","tt0104797",7.7,95778
"2767","Wayne&#39;s World",1,1992,4731,"0105793","tt0105793",7,159057
"2768","Stop! Or My Mom Will Shoot",2,1992,4779,"0105477","tt0105477",4.3,42891
"2769","Chaplin",1,1992,4782,"0103939","tt0103939",7.5,58399
"2770","Cutting Edge, The",3,1992,4839,"0104040","tt0104040",6.9,20966
"2771","Ladybugs",3,1992,4837,"0104670","tt0104670",5.4,9981
"2772","Como agua para chocolate",3,1992,4838,"0103994","tt0103994",7.1,18118
"2773","Husbands and Wives",3,1992,4903,"0104466","tt0104466",7.5,29685
"2774","Basic Instinct",1,1992,4940,"0103772","tt0103772",7,202439
"2775","Dracula",3,1992,4947,"0103874","tt0103874",7.4,220351
"2776","Damage",3,1992,4952,"0104237","tt0104237",6.7,18774
"2777","Hero",1,1992,4999,"0104412","tt0104412",6.5,22776
"2778","Candyman",3,1992,5005,"0103919","tt0103919",6.7,92986
"2779","Lawnmower Man, The",1,1992,5241,"0104692","tt0104692",5.4,36700
"2780","Boomerang",3,1992,5318,"0103859","tt0103859",5.6,29899
"2781","Un Coeur en Hiver",3,1992,5425,"0105682","tt0105682",7.6,10086
"2782","Bikini Carwash Company, The",3,1992,5533,"0103812","tt0103812",4.5,1072
"2783","Doragon b&ocirc;ru Z: Atsumare! Gok&ucirc; W&acirc;rudo",0,1992,5593,"1517470","tt1517470",6.6,481
"2784","Sneakers",1,1992,5654,"0105435","tt0105435",7.1,59580
"2785","Dragon Ball Z: The Return of Cooler",0,1992,6090,"0142237","tt0142237",7,7806
"2786","A River Runs Through It",2,1992,6123,"0105265","tt0105265",7.2,61514
"2787","Singles",2,1992,6317,"0105415","tt0105415",6.7,30740
"2788","Hellraiser III: Hell on Earth",3,1992,6397,"0104409","tt0104409",5.5,32375
"2789","Peter&#39;s Friends",3,1992,6702,"0105130","tt0105130",7,11570
"2790","Dragon Inn",3,1992,6862,"0105859","tt0105859",7.2,4462
"2791","Unforgiven",3,1992,7006,"0105695","tt0105695",8.2,413338
"2792","Freddie as F.R.O.7.",1,1992,7601,"0104298","tt0104298",5.2,758
"2793","Last of the Mohicans, The",2,1992,7031,"0104691","tt0104691",7.7,172294
"2794","Split Second",0,1992,7179,"0105459","tt0105459",6,15337
"2795","Tom and Jerry: The Movie",3,1992,7191,"0105616","tt0105616",5.3,11269
"2796","Hard Boiled",0,1992,7245,"0104684","tt0104684",7.7,51157
"2797","HouseSitter",1,1992,7640,"0104452","tt0104452",6.1,25517
"2798","Bitter Moon",3,1992,8287,"0104779","tt0104779",7.2,39750
"2799","Critters 4",1,1992,8393,"0101628","tt0101628",4,7670
"2800","Leap of Faith",2,1992,8583,"0104695","tt0104695",6.1,13566
"2801","Encino Man",1,1992,8622,"0104187","tt0104187",5.8,41481
"2802","Bodyguard, The",2,1992,8991,"0103855","tt0103855",6.3,136795
"2803","Just another girl on the I.R.T",1,1992,9000,"0104575","tt0104575",6.3,1186
"2804","Hand That Rocks the Cradle, The",3,1992,9922,"0104389","tt0104389",6.7,45302
"2805","Dien Bien Phu",0,1992,9107,"0104105","tt0104105",6.2,882
"2806","Lover / L&#39;amant, The",1,1992,9221,"0101316","tt0101316",6.8,21917
"2807","Stay Tuned",2,1992,9242,"0105466","tt0105466",6.2,13245
"2808","Strictly Ballroom",1,1992,9331,"0105488","tt0105488",7.2,28043
"2809","Passenger 57",1,1992,9785,"0105104","tt0105104",5.9,48593
"2810","Schtonk",3,1992,9812,"0105328","tt0105328",7.2,3790
"2811","Jurassic Park",3,1993,109,"0107290","tt0107290",8.2,987808
"2812","Groundhog Day",2,1993,114,"0107048","tt0107048",8.1,632500
"2813","Demolition Man",0,1993,117,"0106697","tt0106697",6.7,178785
"2814","Mrs. Doubtfire",3,1993,436,"0107614","tt0107614",7.1,269919
"2815","Point of No Return/The Assassin",3,1993,543,"0107843","tt0107843",6.1,28608
"2816","Sleepless in Seattle",2,1993,556,"0108160","tt0108160",6.8,178113
"2817","Umi ga kikoeru",3,1993,558,"0108432","tt0108432",6.6,17675
"2818","Hocus Pocus",3,1993,587,"0107120","tt0107120",6.9,143750
"2819","Swing Kids",1,1993,727,"0108265","tt0108265",6.7,16646
"2820","Manhattan Murder Mystery",3,1993,810,"0107507","tt0107507",7.3,44626
"2821","Ruby in Paradise",3,1993,852,"0108000","tt0108000",6.9,3013
"2822","Dazed and Confused",3,1993,861,"0106677","tt0106677",7.6,185650
"2823","Sandlot, The",0,1993,899,"0108037","tt0108037",7.8,93712
"2824","Bad Boy Bubby",1,1993,950,"0106341","tt0106341",7.3,14186
"2825","Three Colors: Blue",3,1993,984,"0108394","tt0108394",7.9,103229
"2826","Robin Hood: Men in Tights",3,1993,1067,"0107977","tt0107977",6.7,127936
"2827","Cool Runnings",1,1993,1602,"0106611","tt0106611",7,105610
"2828","Boxing Helena",1,1993,1517,"0106471","tt0106471",4.7,12366
"2829","Wedding Banquet, The",3,1993,1195,"0107156","tt0107156",7.6,15931
"2830","Homeward Bound: The Incredible Journey",1,1993,1088,"0107131","tt0107131",6.9,47480
"2831","Dave",3,1993,1133,"0106673","tt0106673",6.9,54347
"2832","Secret Garden, The",3,1993,1434,"0108071","tt0108071",7.3,42068
"2833","Addams Family Values",3,1993,1436,"0106220","tt0106220",6.8,99103
"2834","Sister Act 2: Back in the Habit",3,1993,1353,"0108147","tt0108147",5.6,54860
"2835","Undercover Blues",1,1993,1097,"0108442","tt0108442",6,9548
"2836","Schindler&#39;s List",3,1993,1497,"0108052","tt0108052",9,1353176
"2837","Fei hu wai zhuan",2,1993,1637,"0104246","tt0104246",5.5,113
"2838","Death Train",3,1993,1666,"0106689","tt0106689",5.2,3738
"2839","Even Cowgirls Get The Blues",3,1993,1790,"0106834","tt0106834",4.3,7540
"2840","Fatal Instinct",3,1993,1856,"0106873","tt0106873",5.7,7680
"2841","Princess and the Cobbler, The",0,1993,1940,"0112389","tt0112389",7.1,4192
"2842","Trial, The",1,1993,2182,"0108388","tt0108388",6,2417
"2843","Piano, The",3,1993,2230,"0107822","tt0107822",7.5,89559
"2844","Once Upon a Forest",3,1993,2492,"0107745","tt0107745",6.4,5720
"2845","Nightmare Before Christmas, The",1,1993,2543,"0107688","tt0107688",7.9,342531
"2846","Sonatine",0,1993,2847,"0108188","tt0108188",7.5,21715
"2847","Little Buddha",1,1993,2892,"0107426","tt0107426",6.1,17098
"2848","Fugitive, The",2,1993,2916,"0106977","tt0106977",7.8,297191
"2849","Joy Luck Club, The",3,1993,3088,"0107282","tt0107282",7.7,17090
"2850","Age of Innocence, The",3,1993,3097,"0106226","tt0106226",7.2,61096
"2851","Heart and Souls",2,1993,3123,"0107091","tt0107091",7,17846
"2852","Pieces of April",3,1993,3176,"0311648","tt0311648",7,21394
"2853","Tombstone",3,1993,3180,"0108358","tt0108358",7.8,150791
"2854","Gekij&ocirc;-ban - Bish&ocirc;jo senshi S&ecirc;r&acirc; M&ucirc;n R (Sailor Moon R the Movie: The Promise of the Rose)",3,1993,3330,"0106417","tt0106417",7.7,2654
"2855","Searching for Bobby Fischer",0,1993,3336,"0108065","tt0108065",7.4,40625
"2856","Cliffhanger",1,1993,3369,"0106582","tt0106582",6.5,131537
"2857","Untamed Heart",3,1993,3396,"0108451","tt0108451",6.8,14338
"2858","Heroic Trio, The",3,1993,3405,"0105619","tt0105619",6.5,3516
