"VIN","make","model","model_year","fuel_type","GVWR"
"5n1al0mnxec529961","INFINITI","QX60","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"1c4njrab9ed607750","JEEP","Patriot","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"2t2zk1ba7fc151800","LEXUS","RX","2015","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbe1d29e5011017","LEXUS","IS","2014","Gasoline",""
"jthbl5ef3e5126680","LEXUS","LS","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jtjbm7fx4e5070845","LEXUS","GX","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"jthce1bl0e5027719","LEXUS","GS","2014","Gasoline",""
"jthbf1d22e5011745","LEXUS","IS","2014","Gasoline",""
"jthbk1gg7e2089085","LEXUS","ES","2014","Gasoline",""
"jthbk1gg0e2112223","LEXUS","ES","2014","Gasoline",""
"jthbf1d23e5017389","LEXUS","IS","2014","Gasoline",""
"jtjbm7fxxe5067366","LEXUS","GX","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"jthbf1d2xe5035470","LEXUS","IS","2014","Gasoline",""
"jthbl5ef9e5127770","LEXUS","LS","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbf1d25e5034811","LEXUS","IS","2014","Gasoline",""
"2t2bk1ba3ec249691","LEXUS","RX","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"wdzpe7cd1e5806737","MERCEDES-BENZ","Sprinter","2014","","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"4a4ar3au0ee032205","MITSUBISHI","Outlander Sport","2014","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"jn8az1fy2ew301116","NISSAN","Murano","2014","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
