"VIN","make","model","model_year","fuel_type","GVWR"
"jthbl46f485079818","LEXUS","LS","2008","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jtjgw31u582851806","LEXUS","RX","2008","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthbj46g782183879","LEXUS","ES","2008","Gasoline",""
"wmwrf33528tg18493","MINI","Cooper Convertible","2008","Gasoline",""
"wmwmf73508tt87494","MINI","Cooper","2008","Gasoline",""
"4m2cu81168kj42564","MERCURY","Mariner","2008","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"2c4rc1bg3er125117","CHRYSLER","Town and Country","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"2c4rc1bg2er184448","CHRYSLER","Town and Country","2014","Gasoline","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"1mehm42w58g621557","MERCURY","Sable","2008","Gasoline",""
"1mehm40w98g605851","MERCURY","Sable","2008","Gasoline",""
"wp0aa298x8u761273","PORSCHE","Cayman","2008","Gasoline","Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)"
"jtlke50e281006010","TOYOTA","SCION xB","2008","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"jtkde167180270078","TOYOTA","SCION tC","2008","Gasoline",""
"kl5jd66z98k922936","SUZUKI","Reno","2008","",""
"wbseh93597b798287","BMW","M6","2007","Gasoline",""
"1g1yy26u875100225","CHEVROLET","Corvette","2007","Gasoline",""
"2a8gp54l47r185691","CHRYSLER","Town and Country","2007","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"1ftne14w47db04215","FORD","E-150","2007","Gasoline","Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)"
"1fmfk16537la27453","FORD","Expedition MAX","2007","Gasoline","Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)"
"jthbj46g772151335","LEXUS","ES","2007","Gasoline",""
"salsh234x7a105900","LAND ROVER","Range Rover Sport","2007","","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"jthbj46gx72020299","LEXUS","ES","2007","Gasoline",""
"salsk25467a998565","LAND ROVER","Range Rover Sport","2007","","Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)"
"jthbc96s975007991","LEXUS","GS","2007","Gasoline",""
"knage124x75099197","KIA","Optima","2007","",""
"jthbl46f575034210","LEXUS","LS","2007","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"jtjhw31u672017708","LEXUS","RX","2007","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"2t2hk31u77c025070","LEXUS","RX","2007","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthck262572016218","LEXUS","IS","2007","Gasoline",""
"jm3er293570127977","MAZDA","CX-7","2007","Gasoline","Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)"
"jthbk262772055758","LEXUS","IS","2007","Gasoline",""
"jtjhw31u072037338","LEXUS","RX","2007","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"2t2hk31u37c032050","LEXUS","RX","2007","Gasoline","Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)"
"jthgl46f875001773","LEXUS","LS","2007","Gasoline","Class 1: 6,000 lb or less (2,722 kg or less)"
"2mefm74v07x604686","MERCURY","Grand Marquis","2007","Flexible Fuel Vehicle (FFV)",""
"4a3al25f47e045120","MITSUBISHI","Eclipse Spyder","2007","Gasoline",""
"1g8aj55f87z124819","SATURN","Ion","2007","Gasoline",""
"ys3fd49y871130023","SAAB","9-3","2007","",""
"ys3fh71ux76002058","SAAB","9-3","2007","",""
